,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
3288,save load pocketpaint format,move image,different,0.276790798,different
4181,hint change default settings tools,resize pictures,different,0.276758075,different
5054,save load pocketpaint format,toggle move option,different,0.276757419,different
5053,save load pocketpaint format,toggle move option,different,0.276757419,different
3692,save load pocketpaint format,paste a part,different,0.276732475,different
3691,save load pocketpaint format,paste a part,different,0.276732475,different
3837,export,pictures shots,different,0.276709318,different
4834,close transform tool options clicking apply,take small space,different,0.276585013,different
497,hide unhide layer,brush canvas,different,0.27657932,different
4373,center button transform tool,screen shots,different,0.276540279,different
5230,fastlane support huawei store,user interface,different,0.276518404,different
4293,confirm tool application selecting tool,rotation controls,different,0.276495486,different
4122,hide unhide layer,rendering useless,different,0.276414126,different
2363,github crowdin integration,intuitive layout,different,0.276198089,different
1283,confirm tool application selecting tool,dedicated pan,different,0.276176751,different
668,save dialog,circle draw,different,0.276130676,different
1211,dynamic color scheme,curve tool,different,0.276093334,different
3353,save dialog,ms paint,different,0.276048213,different
1812,spray tool,find a place,different,0.276034027,different
1686,confirm tool application selecting tool,fill color,different,0.275976002,different
955,spray tool,colour shades,different,0.275856763,different
2218,insert image catrobat media gallery,ground color change,different,0.275806546,different
3821,close transform tool options clicking apply,pictures shots,different,0.27575475,different
1415,save dialog,drawing tool for kids,different,0.275746018,different
4950,spray tool,text insert,different,0.275727361,different
2709,center button transform tool,load pictures,different,0.275725782,different
5259,build paintroid pull requests catroid develop jenkins,version ads,different,0.275661945,different
4021,checkmark confirm tool applications,rectangle stamp,different,0.275566339,different
3422,paste tool,new image option,different,0.275345266,different
4365,auto crop icon,screen shots,different,0.275337756,different
4803,image file size editing,stop camera,different,0.275231093,different
1607,center button transform tool,enter texts,different,0.275217891,different
2880,close transform tool options clicking apply,made reviews,different,0.275180697,different
4031,reuse drawingsurface pipette activity,rectangle stamp,different,0.275126398,different
4318,better compression research implementation,satisfy my experience,different,0.275046647,different
3257,dynamic color scheme,more updates,different,0.27495265,different
3279,build paintroid pull requests catroid develop jenkins,move bits,different,0.27493912,different
2124,image file size editing,good art,different,0.274869204,different
1113,feedback menu entry overflow menu,creating a option,different,0.274827808,different
202,hide unhide layer,air brush,different,0.274811059,different
2618,hide unhide layer,line shapes,different,0.274702579,different
2887,feedback menu entry overflow menu,made reviews,different,0.274629056,different
2987,dynamic color scheme,manipulator programs,different,0.274568081,different
